antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Caesar Rules Dressing,Organic Tortilla Chips Blue Corn With Flax,0.0286718136713182,0.1427188683703099,0.0081625498250882,0.284688995215311,1.9947537313470969,0.0040705410237932,1.198473287696356
Pearl Plastic Unscented Multipack,Organic Tortilla Chips Blue Corn With Flax,0.0309353779085276,0.1427188683703099,0.0088560998102264,0.2862774082286277,2.0058833950801027,0.0044410376825134,1.201140529266452
Honeycrisp Apple Wheat Beer,Organic Tortilla Chips Blue Corn With Flax,0.0236492923503723,0.1427188683703099,0.006592535573017,0.278762487914921,1.953227986587038,0.0032173353310133,1.188625268743042
Gel Scar Treatment,Cherries Rainer Organic,0.0267131065704334,0.1179797117575776,0.0081320641114557,0.3044222539229672,2.580293250321616,0.0049804594981265,1.2680398319481916
Brie Soft-Ripened Cheese Wheel,Organic Tortilla Chips Blue Corn With Flax,0.0223460280925851,0.1427188683703099,0.0070498212775038,0.3154843110504775,2.210529796465988,0.0038606214355589,1.2523907712696816
Deep Cleansing Nose/Face Combo Pore Strips,Cherries Rainer Organic,0.0290986136621725,0.1179797117575776,0.0061352498685303,0.2108433734939759,1.7871155163288817,0.0027022038161221,1.117674563727039
Traditional Italian-Style Wedding Soup,Cherries Rainer Organic,0.0220335495278525,0.1179797117575776,0.0074156498410932,0.3365617433414043,2.85270864225338,0.0048161380188008,1.3294685366573735
Honey Cinnamon Almonds,Cherries Rainer Organic,0.0830278410779748,0.1179797117575776,0.023428270926537,0.2821736735817881,2.3917135359814496,0.0136326701683036,1.2287377263571546
Cherries Rainer Organic,Honey Cinnamon Almonds,0.1179797117575776,0.0830278410779748,0.023428270926537,0.198578811369509,2.3917135359814496,0.0136326701683036,1.1441825745698009
Baby's Super Daily Liquid Vitamin D Drops,Cherries Rainer Organic,0.0745680555449702,0.1179797117575776,0.0170415139205389,0.2285363859362223,1.9370820841282816,0.0082439962210203,1.1433076974249947
Cherries Rainer Organic,Baby's Super Daily Liquid Vitamin D Drops,0.1179797117575776,0.0745680555449702,0.0170415139205389,0.1444444444444444,1.9370820841282816,0.0082439962210203,1.0816737013110735
White Wine & Garlic Sauces Skillet Shrimp Scampi,Cherries Rainer Organic,0.0326959278708015,0.1179797117575776,0.0076214284081122,0.2331002331002331,1.975765405997964,0.0037639722622685,1.1501115612644353
White Bean Chili Starter with Roasted New Mexico green chile,Cherries Rainer Organic,0.0316898993209307,0.1179797117575776,0.0069507427081983,0.2193362193362193,1.8591011629771323,0.0032119775206883,1.129833751852123
Coconut Shrimp,Cherries Rainer Organic,0.0459800775861411,0.1179797117575776,0.0071031712763606,0.1544836731311122,1.3094088028333402,0.0016784549761566,1.0431735736064565
Corn Tortillas Gluren Free,Cherries Rainer Organic,0.0374059706270149,0.1179797117575776,0.0085207569602694,0.2277913610431947,1.930767228108304,0.0041076113276818,1.142204637122377
Italian Squash,Cherries Rainer Organic,0.0422684419513905,0.1179797117575776,0.0135661425664398,0.3209520375045077,2.720400251222801,0.0085793239685728,1.2989072009008165
Cherries Rainer Organic,Italian Squash,0.1179797117575776,0.0422684419513905,0.0135661425664398,0.1149870801033591,2.720400251222801,0.0085793239685728,1.0821667531819326
Hot Raw Hummus,Cherries Rainer Organic,0.0351576492466218,0.1179797117575776,0.0096639712214863,0.2748753522653371,2.3298527193399625,0.0055160818972958,1.2163705798691464
"Matches, Strike On Box, Large Kitchen",Cherries Rainer Organic,0.0214085923983873,0.1179797117575776,0.0061733570105709,0.2883588465646137,2.444139269954548,0.0036475774502737,1.2394172034382012
Organic Gluten Free Yellow Cornmeal,Cherries Rainer Organic,0.0378480134746854,0.1179797117575776,0.0086655641000236,0.2289569069673782,1.9406464345143883,0.0042002663796833,1.1439312487364508
Cage Free White Omega 3 Eggs,Cherries Rainer Organic,0.0291367208042131,0.1179797117575776,0.006249571294652,0.2144912372482343,1.8180349320480356,0.0028120293726099,1.122864988994599
Organic Black Sesame Seeds,Cherries Rainer Organic,0.0274142779839797,0.1179797117575776,0.0062876784366926,0.2293577981651376,1.9440444017732263,0.0030533498221005,1.1445263264098102
Brewer's Yeast Powder,Cherries Rainer Organic,0.0349747349648271,0.1179797117575776,0.0079339069728448,0.2268468075833515,1.9227611612534865,0.0038075978228968,1.1408092172335051
Salmon Dinner Classic Pate Cat Food,Cherries Rainer Organic,0.0555830773803626,0.1179797117575776,0.0184438567476316,0.3318250377073907,2.812560166185338,0.0118861812996973,1.320043907685612
Cherries Rainer Organic,Salmon Dinner Classic Pate Cat Food,0.1179797117575776,0.0555830773803626,0.0184438567476316,0.1563307493540051,2.812560166185337,0.0118861812996973,1.1194160767344554
"Sauce, Duck, All Natural, Jar",Cherries Rainer Organic,0.0620003200999931,0.1179797117575776,0.0080558498273746,0.1299323909035033,1.1013113099520526,0.0007410699330999,1.0137376440876105
Extra Crispy Tator Tots,Cherries Rainer Organic,0.0564671630757036,0.1179797117575776,0.0081549283966801,0.1444189499257659,1.224099870853348,0.0014929487732404,1.0309020848064534
Sandies Toffee Shortbread Cookies,Organic Tortilla Chips Blue Corn With Flax,0.0494935560822809,0.1427188683703099,0.0148465425390026,0.2999692023406221,2.101818811807684,0.007782878223317,1.224633451122571
Organic Tortilla Chips Blue Corn With Flax,Sandies Toffee Shortbread Cookies,0.1427188683703099,0.0494935560822809,0.0148465425390026,0.1040264872369966,2.1018188118076835,0.007782878223317,1.060864445631375
Baby's Super Daily Liquid Vitamin D Drops,Honey Cinnamon Almonds,0.0745680555449702,0.0830278410779748,0.0124915211608959,0.1675183973834832,2.0176171656223105,0.0063002964956145,1.1014924006007485
Honey Cinnamon Almonds,Baby's Super Daily Liquid Vitamin D Drops,0.0830278410779748,0.0745680555449702,0.0124915211608959,0.1504497888746098,2.0176171656223105,0.0063002964956145,1.089319892262895
Honey Cinnamon Almonds,Organic Tortilla Chips Blue Corn With Flax,0.0830278410779748,0.1427188683703099,0.016568985359236,0.199559390490178,1.3982691480735754,0.0047193458373575,1.071011542198835
Organic Tortilla Chips Blue Corn With Flax,Honey Cinnamon Almonds,0.1427188683703099,0.0830278410779748,0.016568985359236,0.116095268610488,1.3982691480735754,0.0047193458373575,1.0374106239713536
Coconut Shrimp,Honey Cinnamon Almonds,0.0459800775861411,0.0830278410779748,0.0062267070094277,0.1354218465108569,1.63104140433661,0.0024090804348526,1.0606006585077796
Corn Tortillas Gluren Free,Honey Cinnamon Almonds,0.0374059706270149,0.0830278410779748,0.007270842701339,0.1943765281173594,2.3411005946163588,0.0041651057167518,1.1382143034874304
Honey Cinnamon Almonds,Corn Tortillas Gluren Free,0.0830278410779748,0.0374059706270149,0.007270842701339,0.0875711400771066,2.3411005946163583,0.0041651057167518,1.054979814485845
Italian Squash,Honey Cinnamon Almonds,0.0422684419513905,0.0830278410779748,0.0127277854415474,0.3011179228272628,3.626710256677284,0.0092183279605937,1.3120556226474591
Honey Cinnamon Almonds,Italian Squash,0.0830278410779748,0.0422684419513905,0.0127277854415474,0.1532953919588764,3.626710256677284,0.0092183279605937,1.1311283167152593
Hot Raw Hummus,Honey Cinnamon Almonds,0.0351576492466218,0.0830278410779748,0.0078653141171718,0.2237155863862996,2.694464693791076,0.0049462504028481,1.181232217008462
Honey Cinnamon Almonds,Hot Raw Hummus,0.0830278410779748,0.0351576492466218,0.0078653141171718,0.0947310446117128,2.694464693791076,0.0049462504028481,1.0658073990171673
Organic Gluten Free Yellow Cornmeal,Honey Cinnamon Almonds,0.0378480134746854,0.0830278410779748,0.0096715926498944,0.2555376560612163,3.0777345616060336,0.0065291538020012,1.2317240306212545
Honey Cinnamon Almonds,Organic Gluten Free Yellow Cornmeal,0.0830278410779748,0.0378480134746854,0.0096715926498944,0.1164861391591701,3.077734561606033,0.0065291538020012,1.0890061029825222
Salmon Dinner Classic Pate Cat Food,Honey Cinnamon Almonds,0.0555830773803626,0.0830278410779748,0.0117293783200847,0.2110242698477993,2.5416085388709284,0.0071144354047232,1.1622311357348507
Honey Cinnamon Almonds,Salmon Dinner Classic Pate Cat Food,0.0830278410779748,0.0555830773803626,0.0117293783200847,0.1412704240866532,2.5416085388709284,0.0071144354047232,1.099783854090682
"Sauce, Duck, All Natural, Jar",Honey Cinnamon Almonds,0.0620003200999931,0.0830278410779748,0.0077509926910501,0.1250153657037492,1.5057041599617431,0.0026032399670043,1.047986585112486
Honey Cinnamon Almonds,"Sauce, Duck, All Natural, Jar",0.0830278410779748,0.0620003200999931,0.0077509926910501,0.0933541398935193,1.5057041599617431,0.0026032399670043,1.0345822124967778
Extra Crispy Tator Tots,Honey Cinnamon Almonds,0.0564671630757036,0.0830278410779748,0.0082921141080261,0.1468484275880685,1.7686648921794463,0.0036037674660525,1.074805683507876
Honey Cinnamon Almonds,Extra Crispy Tator Tots,0.0830278410779748,0.0564671630757036,0.0082921141080261,0.0998714888929686,1.7686648921794463,0.0036037674660525,1.04822014332585
Baby's Super Daily Liquid Vitamin D Drops,Organic Tortilla Chips Blue Corn With Flax,0.0745680555449702,0.1427188683703099,0.0152428568162244,0.2044153720359771,1.4322939522305091,0.0046005883122719,1.0775486371871643
Organic Tortilla Chips Blue Corn With Flax,Baby's Super Daily Liquid Vitamin D Drops,0.1427188683703099,0.0745680555449702,0.0152428568162244,0.1068033749866495,1.4322939522305094,0.0046005883122719,1.036089835696813
White Bean Chili Starter with Roasted New Mexico green chile,Baby's Super Daily Liquid Vitamin D Drops,0.0316898993209307,0.0745680555449702,0.0062648141514682,0.1976911976911977,2.6511513039517944,0.0039017599786905,1.1534610386822584
Coconut Shrimp,Baby's Super Daily Liquid Vitamin D Drops,0.0459800775861411,0.0745680555449702,0.0071565212752174,0.1556439582297364,2.087273928389768,0.0037278762958119,1.096020989575421
Baby's Super Daily Liquid Vitamin D Drops,Coconut Shrimp,0.0745680555449702,0.0459800775861411,0.0071565212752174,0.0959730171708912,2.087273928389768,0.0037278762958119,1.0553002737023396
Hot Raw Hummus,Baby's Super Daily Liquid Vitamin D Drops,0.0351576492466218,0.0745680555449702,0.0071107927047687,0.2022544981573813,2.7123477564116767,0.004489155162916,1.1600591195030032
Baby's Super Daily Liquid Vitamin D Drops,Hot Raw Hummus,0.0745680555449702,0.0351576492466218,0.0071107927047687,0.0953597710547833,2.7123477564116767,0.004489155162916,1.066548136907813
Baby's Super Daily Liquid Vitamin D Drops,Cage Free White Omega 3 Eggs,0.0745680555449702,0.0291367208042131,0.0064629712900791,0.0866721177432542,2.97466960423088,0.0042903026747523,1.0629953361293172
Cage Free White Omega 3 Eggs,Baby's Super Daily Liquid Vitamin D Drops,0.0291367208042131,0.0745680555449702,0.0064629712900791,0.2218153282762228,2.97466960423088,0.0042903026747523,1.1892189323198583
Brewer's Yeast Powder,Baby's Super Daily Liquid Vitamin D Drops,0.0349747349648271,0.0745680555449702,0.0072403569877066,0.2070167792547396,2.776212652211276,0.0046323590081787,1.1670258843374914
Baby's Super Daily Liquid Vitamin D Drops,Brewer's Yeast Powder,0.0745680555449702,0.0349747349648271,0.0072403569877066,0.0970973017170891,2.776212652211276,0.0046323590081787,1.0688031687915025
Baby's Super Daily Liquid Vitamin D Drops,Salmon Dinner Classic Pate Cat Food,0.0745680555449702,0.0555830773803626,0.0095420283669565,0.1279640228945216,2.3022119127886045,0.0053973063654972,1.0830022469421627
Salmon Dinner Classic Pate Cat Food,Baby's Super Daily Liquid Vitamin D Drops,0.0555830773803626,0.0745680555449702,0.0095420283669565,0.1716714657891128,2.3022119127886045,0.0053973063654972,1.1172281362209124
"Sauce, Duck, All Natural, Jar",Baby's Super Daily Liquid Vitamin D Drops,0.0620003200999931,0.0745680555449702,0.0094353283692429,0.1521819299323909,2.0408461615391533,0.0048120850562207,1.091545435427239
Baby's Super Daily Liquid Vitamin D Drops,"Sauce, Duck, All Natural, Jar",0.0745680555449702,0.0620003200999931,0.0094353283692429,0.1265331152902698,2.0408461615391538,0.0048120850562207,1.073881215556011
Extra Crispy Tator Tots,Baby's Super Daily Liquid Vitamin D Drops,0.0564671630757036,0.0745680555449702,0.0106852426281733,0.1892293156971251,2.53767265773754,0.0064745960754774,1.14142255309927
Baby's Super Daily Liquid Vitamin D Drops,Extra Crispy Tator Tots,0.0745680555449702,0.0564671630757036,0.0106852426281733,0.1432951757972199,2.53767265773754,0.0064745960754774,1.1013511425038554
White Wine & Garlic Sauces Skillet Shrimp Scampi,White Bean Chili Starter with Roasted New Mexico green chile,0.0326959278708015,0.0316898993209307,0.0064782141468954,0.1981351981351981,6.252313903829055,0.0054420834844652,1.207572770905002
White Bean Chili Starter with Roasted New Mexico green chile,White Wine & Garlic Sauces Skillet Shrimp Scampi,0.0316898993209307,0.0326959278708015,0.0064782141468954,0.2044252044252044,6.252313903829055,0.0054420834844652,1.2158556021503044
eat your vegetables Vegetable Chips Sour Cream & Onion,Organic Tortilla Chips Blue Corn With Flax,0.022140249525566,0.1427188683703099,0.006386757005998,0.2884681583476764,2.0212335036121045,0.0032269256482729,1.2048387457108125
Coconut Shrimp,Organic Tortilla Chips Blue Corn With Flax,0.0459800775861411,0.1427188683703099,0.0101441212111974,0.2206199237526935,1.545835713749181,0.0035818965705242,1.099952587648218
Corn Tortillas Gluren Free,Organic Tortilla Chips Blue Corn With Flax,0.0374059706270149,0.1427188683703099,0.0079567712580691,0.2127139364303178,1.490440183973383,0.0026182334598885,1.0889067789954758
Italian Squash,Organic Tortilla Chips Blue Corn With Flax,0.0422684419513905,0.1427188683703099,0.0068516641388929,0.1620988099531193,1.1357910261208393,0.0008191599358143,1.0231291491323995
Temples Earl Gray Strong Tea,Organic Tortilla Chips Blue Corn With Flax,0.0248229923252215,0.1427188683703099,0.0092219283738158,0.3715075222597482,2.60307222515109,0.0056792189995953,1.3640276725539329
Hot Raw Hummus,Organic Tortilla Chips Blue Corn With Flax,0.0351576492466218,0.1427188683703099,0.0063334070071412,0.1801430739215261,1.2622232503561637,0.0013157470921031,1.0456472396107246
Organic Gluten Free Yellow Cornmeal,Organic Tortilla Chips Blue Corn With Flax,0.0378480134746854,0.1427188683703099,0.0070498212775038,0.1862666129681836,1.3051295536122187,0.0016481956243324,1.0535159860611336
Cage Free White Omega 3 Eggs,Organic Tortilla Chips Blue Corn With Flax,0.0291367208042131,0.1427188683703099,0.0066230212866495,0.2273083965472142,1.5927003846290415,0.0024646614654505,1.1094738545092433
Brewer's Yeast Powder,Organic Tortilla Chips Blue Corn With Flax,0.0349747349648271,0.1427188683703099,0.0071565212752174,0.2046197428633689,1.4337259340681283,0.0021649666794857,1.0778255104242869
Oregon Strawberry Preserves,Organic Tortilla Chips Blue Corn With Flax,0.0270636922772065,0.1427188683703099,0.0093819783703861,0.3466629118558152,2.428991455820232,0.0055194788346609,1.3121574562142369
Even Thinner Limited Edition Crackers,Organic Tortilla Chips Blue Corn With Flax,0.0294796850825781,0.1427188683703099,0.006043792727633,0.2050155118924508,1.4364990013829213,0.0018364854327343,1.078362086875981
Salmon Dinner Classic Pate Cat Food,Organic Tortilla Chips Blue Corn With Flax,0.0555830773803626,0.1427188683703099,0.0072174927024823,0.1298505416152475,0.9098344395383428,-0.0007152612017824,0.9852113603806066
"Sauce, Duck, All Natural, Jar",Organic Tortilla Chips Blue Corn With Flax,0.0620003200999931,0.1427188683703099,0.0164470425047062,0.2652735095267363,1.8587136554252668,0.0075984269814382,1.1668030794391049
Organic Tortilla Chips Blue Corn With Flax,"Sauce, Duck, All Natural, Jar",0.1427188683703099,0.0620003200999931,0.0164470425047062,0.1152408416105948,1.8587136554252663,0.0075984269814382,1.0601751572795466
Extra Crispy Tator Tots,Organic Tortilla Chips Blue Corn With Flax,0.0564671630757036,0.1427188683703099,0.0168890853523767,0.2990956944256985,2.0956983322600378,0.0088301557381305,1.2231072413334052
Organic Tortilla Chips Blue Corn With Flax,Extra Crispy Tator Tots,0.1427188683703099,0.0564671630757036,0.0168890853523767,0.1183381394852077,2.095698332260038,0.0088301557381305,1.070175403043269
Coconut Shrimp,Unstopables Fresh In-Wash Scent Booster,0.0459800775861411,0.0268731565670037,0.007674778406969,0.1669152991878004,6.2112278761009945,0.0064391485830336,1.168100725513583
Unstopables Fresh In-Wash Scent Booster,Coconut Shrimp,0.0268731565670037,0.0459800775861411,0.007674778406969,0.2855927396483267,6.2112278761009945,0.0064391485830336,1.3354006536051075
Coconut Shrimp,"Sauce, Duck, All Natural, Jar",0.0459800775861411,0.0620003200999931,0.012156178310939,0.264379247472236,4.264159395400691,0.0093053987823757,1.2751131295260798
"Sauce, Duck, All Natural, Jar",Coconut Shrimp,0.0620003200999931,0.0459800775861411,0.012156178310939,0.1960663798401966,4.264159395400691,0.0093053987823757,1.1866899187823765
Coconut Shrimp,Extra Crispy Tator Tots,0.0459800775861411,0.0564671630757036,0.0079034212592124,0.1718879496104757,3.0440337401054003,0.0053070567199222,1.1393782236117451
Extra Crispy Tator Tots,Coconut Shrimp,0.0564671630757036,0.0459800775861411,0.0079034212592124,0.1399649075448778,3.0440337401054003,0.0053070567199222,1.109280226799165
Italian Squash,Salmon Dinner Classic Pate Cat Food,0.0422684419513905,0.0555830773803626,0.0077662355478663,0.1837360259646592,3.3056108913748763,0.0054168254681348,1.1569993931629134
Salmon Dinner Classic Pate Cat Food,Italian Squash,0.0555830773803626,0.0422684419513905,0.0077662355478663,0.1397230220759632,3.3056108913748763,0.0054168254681348,1.1132827945247863
Hot Raw Hummus,Salmon Dinner Classic Pate Cat Food,0.0351576492466218,0.0555830773803626,0.0063334070071412,0.1801430739215261,3.2409697773439627,0.0043792366685546,1.1519289434279183
Salmon Dinner Classic Pate Cat Food,Hot Raw Hummus,0.0555830773803626,0.0351576492466218,0.0063334070071412,0.113944878650761,3.240969777343963,0.0043792366685546,1.0889191061659529
Extra Crispy Tator Tots,"Sauce, Duck, All Natural, Jar",0.0564671630757036,0.0620003200999931,0.0102813069225434,0.1820758536914563,2.936692155747055,0.0067803247367112,1.1468052192044804
"Sauce, Duck, All Natural, Jar",Extra Crispy Tator Tots,0.0620003200999931,0.0564671630757036,0.0102813069225434,0.1658266748617086,2.936692155747055,0.0067803247367112,1.1310992673709328
